0.069	5.46979900	0.45802370
0.070	5.43017000	0.46130930
0.071	5.39054100	0.46460670
0.072	5.35091200	0.46791580
0.073	5.31128300	0.47123670
0.074	5.27165400	0.47456930
0.075	5.23202500	0.47791360
0.076	5.19274900	0.48126970
0.077	5.15664300	0.48463760
0.078	5.12099300	0.48801710
0.079	5.08534300	0.49140850
0.080	5.04969300	0.49481150
0.081	5.01404200	0.49822630
0.082	4.97839200	0.50165290
0.083	4.94274200	0.50509120
0.084	4.90709100	0.50854120
0.085	4.87144100	0.51200300
0.086	4.83579100	0.51547650
0.087	4.80014100	0.51896180
0.088	4.76590200	0.52245880
0.089	4.73396100	0.52596750
0.090	4.70202000	0.52948800
0.091	4.67007900	0.53302030
0.092	4.63813800	0.53656420
0.093	4.60619700	0.54012000
0.094	4.57425600	0.54368740
0.095	4.54231500	0.54726660
0.096	4.51037400	0.55085760
0.097	4.47843300	0.55446030
0.098	4.44649200	0.55807470
0.099	4.41455100	0.56170090
0.100	4.38261000	0.56533880
0.101	4.35124200	0.56898840
0.102	4.32295000	0.57264980
0.103	4.29492400	0.57632300
0.104	4.26689800	0.58000790
0.105	4.23887300	0.58370450
0.106	4.21084700	0.58741290
0.107	4.18282100	0.59113300
0.108	4.15479600	0.59486490
0.109	4.12677000	0.59860850
0.110	4.09874400	0.60236380
0.111	4.07071900	0.60613090
0.112	4.04269300	0.60990970
0.113	4.01466700	0.61370030
0.114	3.98664200	0.61750260
0.115	3.95861600	0.62131670
0.116	3.93107400	0.62514250
0.117	3.90502400	0.62898000
0.118	3.88044600	0.63282930
0.119	3.85608000	0.63669030
0.120	3.83171400	0.64056310
0.121	3.80734700	0.64444760
0.122	3.78298100	0.64834390
0.123	3.75861500	0.65225190
0.124	3.73424900	0.65617160
0.125	3.70988300	0.66010310
0.126	3.68551600	0.66404630
0.127	3.66115000	0.66800130
0.128	3.63678400	0.67196800
0.129	3.61241800	0.67594650
0.130	3.58805100	0.67993670
0.131	3.56368500	0.68393860
0.132	3.53931900	0.68795230
0.133	3.51495300	0.69197770
0.134	3.49133900	0.69601490
0.135	3.46859300	0.70006380
0.136	3.44632100	0.70412450
0.137	3.42514700	0.70819690
0.138	3.40397300	0.71228100
0.139	3.38279900	0.71637690
0.140	3.36162500	0.72048450
0.141	3.34045100	0.72460390
0.142	3.31927700	0.72873500
0.143	3.29810400	0.73287790
0.144	3.27693000	0.73703250
0.145	3.25575600	0.74119880
0.146	3.23458200	0.74537690
0.147	3.21340800	0.74956670
0.148	3.19223400	0.75376830
0.149	3.17106000	0.75798160
0.150	3.14988700	0.76220660
0.151	3.12871300	0.76644340
0.152	3.10753900	0.77069200
0.153	3.08636500	0.77495230
0.154	3.06519100	0.77922430
0.155	3.04531500	0.78350800
0.156	3.02566100	0.78780360
0.157	3.00600700	0.79211080
0.158	2.98752800	0.79642980
0.159	2.96955800	0.80076050
0.160	2.95158700	0.80510300
0.161	2.93361700	0.80945720
0.162	2.91564700	0.81382320
0.163	2.89767700	0.81820090
0.164	2.87970700	0.82259040
0.165	2.86173600	0.82699160
0.166	2.84376600	0.83140450
0.167	2.82579600	0.83582920
0.168	2.80782600	0.84026560
0.169	2.78985600	0.84471380
0.170	2.77188500	0.84917370
0.171	2.75391500	0.85364530
0.172	2.73594500	0.85812870
0.173	2.71797500	0.86262380
0.174	2.70000500	0.86713070
